col1,col2
340.1994,34.8912
340.1606,35.1837
340.3942,32.9406
340.4388,33.6969
340.4971,34.0069
340.5893,35.6506
340.565,34.967
340.5382,33.6916
340.5939,33.3472
340.6795,32.8933
340.765,34.2305
340.7044,34.4827
340.7555,35.2875
340.7718,35.3299
340.897,32.822
340.8238,32.5026
341.0642,35.3208
211.955,51.9527
212.0017,48.8702
211.9674,48.7232
211.9846,48.2107
212.3885,53.8912
212.2527,51.0865
212.3661,49.1248
212.2998,47.982
335.1899,29.7599
336.0094,29.8955
204.3334,41.5297
204.6386,41.474
205.6194,41.6744
206.0784,41.7153
206.5244,40.825
206.5556,41.0885
206.8459,41.892
206.9282,40.5073
207.2847,41.7199
207.2539,40.9938
207.2448,40.929
207.2684,40.1922
207.2685,40.1385
207.2679,40.1369
207.3966,40.7377
207.5065,41.1139
207.5016,41.8114
207.829,39.9808
207.9703,41.467
208.2284,41.6916
208.1296,40.5156
208.2851,40.3379
208.5447,41.5439
208.4188,40.421
208.5776,40.7616
208.6454,40.9
208.6037,41.2068
208.9865,40.6818
209.0032,41.0492
209.0383,41.0964
209.1257,40.55
209.2794,40.6004
209.4439,39.8606
209.5184,39.1044
209.4641,39.7764
209.8233,41.9695
210.0447,38.7056
209.9745,38.5771
210.0978,39.0299
210.1285,39.1526
210.1581,39.2844
210.1486,40.5508
210.3325,41.2918
210.3216,39.3553
210.233,39.2392
210.349,38.7925
210.4556,40.42
210.6061,41.3611
210.5095,40.0671
210.6188,39.2158
210.5381,38.6208
210.7745,40.1072
210.749,41.0179
210.7533,41.1327
210.872,39.6743
211.075,40.3511
211.0387,41.1918
211.2589,38.1656
211.2923,38.5123
211.3088,40.6876
211.4866,38.8038
211.6166,39.3779
211.6762,40.019
211.771,40.7682
211.7342,38.6101
211.7808,37.873
211.996,39.2433
211.9832,40.5935
211.9637,40.7893
211.8614,41.5847
212.0589,41.2704
212.1013,38.3457
212.2457,39.5245
212.2367,39.6211
212.2398,41.51
349.1773,53.2122
349.1072,50.6713
349.2618,49.9064
349.206,48.2856
349.3557,49.9065
349.352,50.8271
349.4269,52.4395
349.5969,51.1315
349.5626,50.1445
349.5548,49.8748
349.5098,48.7829
349.7695,48.8503
349.7828,48.9195
349.6797,50.0564
349.9503,52.0968
349.9492,51.8645
349.9289,48.6691
349.8744,48.6256
349.9242,48.3811
350.004,48.1041
349.8747,48.0268
350.0268,48.3199
350.0979,48.3335
350.1688,48.7643
350.1946,48.7929
350.0683,49.8415
350.1283,50.0672
350.1584,50.2424
350.2872,50.3063
350.3463,50.2163
350.3403,49.8499
350.2261,48.1127
350.4641,49.1579
350.547,50.0355
350.43,50.281
350.5545,51.4202
350.5966,51.2534
350.6048,50.3938
350.6566,50.214
350.5819,50.1296
350.5767,50.0303
350.6892,48.9876
350.7394,48.82
350.861,48.769
350.7952,50.5005
350.9398,48.6106
350.9955,48.4465
351.1556,50.1349
351.2503,50.161
351.2683,50.2539
351.3547,50.3902
351.3669,50.3366
351.3136,50.134
351.4378,48.2661
351.489,48.3011
351.8002,49.4598
351.9214,48.7834
351.933,49.2455
352.0363,49.0493
352.1391,48.6444
352.403,48.3809
291.6045,52.4676
291.7752,52.7993
291.9717,52.8123
292.167,53.4874
292.5721,53.0331
292.5982,53.115
292.6702,53.7114
292.8979,53.5154
292.7861,53.137
331.6893,29.0794
292.9312,53.0003
293.0506,53.6825
331.8658,28.9607
331.9192,29.1062
293.3856,53.1897
293.7551,52.5018
293.732,53.2592
294.2723,53.5339
294.4556,51.8658
294.7147,51.834
294.8645,52.6475
294.7663,52.6747
294.9829,52.5861
212.3816,41.636
212.3713,38.6906
212.435,37.3301
212.9351,41.6491
212.9592,41.5069
212.9889,38.8313
213.4668,36.5909
213.5069,37.3257
213.3961,41.2668
213.5108,41.6265
213.598,41.5182
213.6531,39.4425
213.6244,39.0431
213.5625,38.3329
213.5181,37.3442
213.7355,37.936
213.7072,40.7466
213.687,41.8226
213.9514,41.3378
213.8751,41.0193
213.9508,40.1244
213.8666,38.7433
213.893,37.765
213.945,37.0454
213.985,36.2787
214.1002,39.7447
214.0194,40.6499
214.2856,36.9608
214.3315,37.8627
214.3661,37.8872
214.3832,38.5718
214.3437,40.374
214.3302,41.407
214.3557,41.7539
214.5457,39.9534
214.4928,37.2977
214.5189,36.5961
214.5297,36.0493
214.6492,36.0898
214.6088,40.0543
214.7168,40.3848
214.7087,39.2017
214.732,38.7676
214.7411,38.6394
214.8246,37.8807
214.9463,37.947
214.9952,38.4081
214.9491,38.794
214.9331,40.0674
214.8779,40.5868
214.947,40.786
214.9939,41.9776
215.057,39.5821
215.0194,39.0508
215.0955,38.9076
215.0747,37.9571
215.2111,36.3924
215.2112,36.956
215.286,37.4009
215.2956,38.9035
215.27,38.9878
215.1894,40.7176
215.2242,41.3912
215.3519,41.074
215.407,39.5718
215.4361,36.4007
215.4822,37.6623
215.5858,38.9774
215.494,39.9144
215.5116,41.0073
215.7497,41.5402
215.728,40.1058
215.7494,39.0105
215.6748,38.4818
215.6796,37.9448
215.6755,37.79
215.6212,36.9086
215.69,36.2417
215.8666,36.2499
215.8633,37.2068
215.8363,38.4693
215.8807,39.3269
215.9039,41.6509
215.985,41.7198
216.0286,41.0393
215.924,40.8445
216.0226,38.5079
215.9373,38.4943
216.0929,36.6749
216.1492,37.0645
216.0879,38.4556
216.1953,39.1083
216.0952,40.2519
216.2028,41.274
216.1114,41.88
216.218,40.9455
216.2925,40.3048
216.2911,39.8887
216.3292,38.2533
216.2189,37.9258
216.2375,37.4953
216.3312,36.7508
216.3989,36.2663
216.3715,38.3929
216.505,38.6217
295.3409,52.6097
216.5273,38.4601
216.585,36.0515
216.7917,37.0483
216.7091,39.1295
216.8642,41.0248
216.8562,40.1552
216.8464,39.3543
217.0683,36.197
217.0579,36.6301
217.0301,37.6468
217.0067,38.6868
217.0805,41.6474
217.1596,40.9504
217.2185,40.2646
217.2071,38.9942
217.2694,36.6335
217.3605,37.3787
217.2899,38.2763
217.2997,38.5377
217.3918,39.7904
217.3039,40.1972
217.4046,41.7947
217.515,40.9868
217.4582,40.4072
217.4387,38.8612
217.5303,37.1444
217.4432,36.8481
217.6776,37.1704
217.6007,38.5104
295.5392,52.7009
295.7048,52.2253
295.6853,51.5953
331.9904,29.9853
332.0196,29.6837
295.9342,52.2924
295.9538,52.611
295.8298,53.6741
295.8341,53.8564
296.1475,52.8603
296.086,51.5799
296.1239,51.4487
332.1318,28.2701
332.1391,28.3582
296.2484,51.5958
332.4664,29.3505
332.6016,29.4921
332.625,29.0294
332.5848,28.3059
332.5942,28.1493
332.6703,29.9774
332.8466,29.2546
332.8801,28.5356
332.8828,28.3109
296.3472,52.487
296.2627,52.7295
296.3187,53.0693
296.5261,51.6698
296.4787,51.5764
296.4419,51.2243
332.9439,28.9604
333.0274,29.0663
333.4192,29.5364
333.4117,28.608
