col1,col2
78.6331,35.0663
78.7209,32.0843
78.6336,31.8817
78.6642,31.4017
78.6603,30.6715
78.7585,30.9644
78.8515,32.6877
78.7935,33.0133
78.7392,33.6456
78.8658,33.7576
78.9552,34.6996
78.9123,34.6791
78.9717,34.4225
78.9826,30.4074
78.9747,29.9727
79.0325,30.1912
79.0325,30.6524
79.0456,30.6815
79.0173,32.1188
79.1354,32.4072
79.1259,33.1627
79.0756,34.3126
79.0872,34.3937
79.2741,33.9915
79.2684,33.9765
79.1982,33.7483
79.2116,31.7025
79.175,30.9217
79.3263,29.9702
79.3793,31.824
79.3453,31.9531
79.3338,32.1246
79.3822,33.2015
79.3461,35.2037
79.4099,35.5155
79.5443,33.3707
79.5143,32.6564
79.4926,30.7743
79.5823,30.9331
79.631,31.7786
79.7047,32.5876
79.6296,33.1463
79.6298,33.1645
79.5788,33.7672
79.638,34.0655
79.6448,34.6332
79.6509,35.572
79.7953,35.0967
79.711,33.9287
79.7502,33.7482
79.8059,33.0066
79.7576,30.1035
79.9786,31.0114
79.9159,33.5287
79.8492,33.9853
79.9072,34.3352
79.8928,34.3428
79.9214,34.5729
79.9038,34.7673
79.9583,35.1644
80.0341,35.7859
80.1048,35.5922
80.0038,33.958
80.1259,33.1824
80.0031,32.7854
80.0724,31.4802
80.0624,30.4298
80.104,30.0416
80.2339,30.2241
80.16,30.806
80.2338,30.9807
80.1408,32.0275
80.1347,33.5258
80.2081,34.2675
80.2598,34.4173
80.2501,34.9209
80.2386,35.7783
80.3143,35.8298
80.3842,33.8522
80.3773,33.3387
80.3087,31.8211
80.3317,30.9698
80.289,30.898
80.2971,30.1661
80.5386,31.373
80.4092,32.7588
80.5123,32.8312
80.4323,33.3658
80.5343,35.5684
80.5922,34.5243
80.6096,33.8598
80.6221,33.514
80.5738,33.3407
80.6671,33.3193
80.5809,31.9065
80.5861,30.5189
80.7852,30.2244
80.7738,31.1585
80.7479,31.5693
80.7251,31.7649
80.6992,31.8618
80.8007,33.1802
80.7586,33.5195
82.004,33.7625
81.9526,33.3232
81.9782,32.5257
82.0353,32.5118
81.9722,31.4641
82.1032,30.0205
82.2204,32.4774
82.1469,32.8657
82.142,33.306
82.1164,34.4074
82.1101,34.6974
82.3272,35.1519
82.3256,31.7291
82.2317,30.5889
82.468,32.0771
82.3839,32.7196
82.4663,34.0462
82.4319,35.1087
82.4276,35.375
82.551,35.4221
82.5264,34.6883
82.5998,34.4913
82.5882,31.9656
82.5558,31.092
82.5876,30.9294
82.5744,29.9393
82.6498,31.511
82.7572,31.7073
82.6679,32.7247
82.6847,33.4499
82.7516,34.153
82.7229,34.3906
82.7618,34.9006
82.839,31.948
82.8646,31.611
82.9007,30.033
82.9963,30.4458
82.9945,33.4256
82.9307,35.4912
65.3224,59.9009
65.2029,58.9497
65.2383,58.654
65.341,57.8295
65.388,57.7451
65.265,56.7122
65.2053,56.4049
65.3279,55.9746
65.2628,55.5312
65.321,55.188
65.5036,54.512
65.5829,55.4255
65.4915,55.4493
65.4915,56.1394
65.4657,56.5064
65.4112,56.9703
65.416,57.0254
65.5438,57.2649
65.4696,57.8172
65.586,57.8436
65.5266,59.949
65.6908,56.6615
65.7237,55.8985
65.9292,56.0942
65.8354,57.0153
65.8533,57.2172
65.9242,58.4927
65.9201,58.6137
66.0506,58.363
66.1403,57.5339
66.2214,56.1474
66.4351,55.5885
66.2468,56.8737
66.6119,58.4455
66.4888,57.5095
66.478,57.4948
66.5519,56.0789
66.6126,54.7162
66.5286,54.4714
66.7526,54.9076
66.8005,59.0703
66.9234,59.5869
66.9309,57.3857
66.9894,56.5622
67.2259,55.0004
67.0752,55.0339
67.0714,55.3544
67.1267,56.3166
67.1537,56.4208
67.0849,58.7254
67.2348,59.6034
67.3729,59.5909
67.2818,56.1099
67.4071,54.9244
67.4851,54.3908
67.6181,56.9103
67.6736,57.4118
67.5264,57.447
67.6305,57.539
67.6332,57.8183
67.5104,58.9799
68.0077,53.9108
67.9173,55.0184
67.9227,55.8853
68.2115,56.5281
68.1453,54.9725
68.6519,59.6282
68.6134,58.4537
68.5624,55.0973
68.7995,55.3735
68.8911,55.4206
68.785,58.2437
68.8208,58.5982
68.8455,58.6148
68.8538,59.7494
69.2473,54.2981
69.1743,55.5027
69.2191,55.6422
69.2444,57.4142
69.2451,59.3659
69.3075,59.8647
69.5145,57.1106
69.4638,56.4295
69.6373,57.1994
69.792,56.3203
69.9735,54.0294
70.1155,55.5646
70.0661,58.5302
70.1046,59.8877
70.1525,59.863
70.2065,57.8796
70.3422,54.6783
70.2214,54.0957
70.5223,57.2185
70.4655,59.4766
70.5598,59.7642
70.6339,59.1957
70.7247,58.6003
70.6197,58.2988
70.5659,57.7044
70.751,57.6309
70.7331,56.9789
70.7692,56.2607
70.7543,55.6892
70.6478,54.1538
70.8601,54.068
70.8446,58.7985
37.0018,65.4635
61.3141,43.7425
61.2938,45.0161
61.3421,46.3627
72.355,47.1947
72.3248,46.3774
72.465,46.2582
72.3369,46.1112
72.4282,44.9139
72.3697,42.4417
72.6138,44.4404
72.5653,45.9792
72.637,46.3101
72.6091,46.7259
274.4476,53.7032
274.4512,53.7017
72.53,47.8642
72.7503,45.8411
72.6582,45.0585
275.9874,53.8258
276.5337,53.3701
276.5385,53.4723
276.8038,53.5647
277.0745,53.3421
72.8912,42.8834
72.9237,45.2287
72.8652,47.9278
72.9972,46.715
73.0901,45.9396
73.0551,44.9747
72.9964,42.6269
73.1989,42.5866
73.2864,44.6665
73.2911,45.3793
73.2983,45.9043
73.1644,47.697
73.24,47.7858
73.4296,47.2832
73.3916,45.6813
73.3978,44.4511
73.4315,44.3447
73.4173,43.9214
73.4242,43.7008
65.288,47.4918
65.2159,46.5895
65.216,46.5888
65.2114,44.0924
65.3374,43.5436
65.4306,46.0104
65.3728,46.1321
65.3884,46.4987
65.4643,46.5436
65.6161,46.0497
65.5275,45.3323
65.625,45.1556
65.5814,44.731
65.6695,42.3789
65.6503,43.8316
65.6666,47.66
65.8869,46.4751
65.9291,46.024
65.9326,44.1152
65.8924,44.01
65.8994,42.4277
65.9947,43.4643
66.0575,45.5025
65.9801,47.195
66.1793,45.6176
66.1417,44.7731
66.1456,44.1994
66.44,42.6972
66.3594,43.8857
66.3978,44.4143
66.3072,46.5379
66.3607,47.5862
66.5579,46.9952
66.5578,46.7972
66.4925,45.3786
66.5705,44.753
66.4687,44.078
66.7004,43.1369
66.7382,44.9225
66.6134,45.327
66.8604,47.9599
66.9747,44.0626
67.0172,44.9457
67.0493,46.1857
67.0245,46.3994
66.9958,46.9346
67.2195,45.0964
67.0988,44.8654
67.2149,43.0372
67.2581,42.7156
67.1362,41.9564
67.4143,42.4822
67.369,42.7173
67.3225,43.5184
67.3665,43.6899
67.3589,44.6398
67.2819,45.8724
67.3548,46.0717
67.533,45.9506
67.5506,43.9257
67.7277,42.8511
67.5954,45.8317
67.6228,46.1499
67.6501,46.4335
67.6276,46.7035
67.7736,47.3951
67.8382,47.2002
67.8881,46.3187
67.9094,45.826
67.8588,44.4012
67.8278,44.1968
67.8124,42.2857
68.0178,43.3681
68.0663,45.7521
68.0168,45.9957
68.1513,47.5928
68.1181,47.4847
68.1988,46.2389
68.1659,45.7607
68.112,44.3158
68.1311,44.052
68.3538,43.0639
68.2549,43.977
68.261,47.2425
68.3345,47.3193
68.445,47.7773
68.5413,47.3684
68.4288,46.8981
68.5116,46.3832
68.5473,45.732
68.525,43.992
68.4208,43.8438
68.5185,42.797
68.4525,42.4508
68.594,43.0369
68.6522,43.207
68.6698,44.0978
68.6151,46.3253
68.8136,47.4566
68.8051,46.1954
68.7562,44.088
68.8281,43.738
68.8218,43.6845
68.8342,43.1017
68.9247,42.7688
68.9313,42.9374
68.9083,43.9757
68.9366,45.2145
68.9556,47.0306
69.1218,44.9777
69.0891,43.4557
69.0895,43.2924
69.1244,42.2189
69.2956,42.2434
69.2604,42.5106
69.2344,42.6413
69.2687,45.3616
69.2922,45.3865
69.3509,46.1668
69.291,46.6475
69.2944,47.0637
69.4126,46.8384
69.5247,46.2335
69.3976,44.608
69.409,43.8431
69.461,43.6699
69.5961,42.073
69.8662,46.2754
69.8158,44.2731
69.7053,43.8214
69.8599,42.8122
69.7221,42.2398
278.8595,53.7127
278.8515,53.1973
279.2436,53.6149
279.1557,53.0986
279.3909,52.9708
279.3494,52.9862
279.3636,53.1863
279.9684,53.7774
279.9809,53.3259
280.1662,52.8385
280.4401,53.0918
280.4911,53.638
280.7025,52.9783
280.613,52.5875
281.121,52.5766
281.4617,52.4624
281.4608,52.4635
281.702,53.6685
281.6796,52.9879
281.6882,52.5761
282.068,53.061
282.2115,52.3457
282.6851,52.8491
282.8953,52.9764
282.841,52.7714
283.1765,52.2649
283.2251,52.1437
283.463,53.5357
283.7463,52.3208
283.8094,52.801
283.9241,53.7116
284.6342,52.1784
284.6336,51.8159
284.7577,52.4682
284.7662,53.084
285.1441,52.2729
285.2478,53.1845
38.3538,65.7641
39.4009,65.7453
39.4706,65.3183
39.3663,64.1133
39.5282,64.4973
39.8059,65.4801
40.2088,63.8832
40.9188,64.3895
41.0803,63.508
41.0079,63.9922
41.4259,64.6256
41.6667,63.0055
41.4786,65.7263
41.7895,65.7218
41.8961,64.6852
43.815,84.4062
44.1924,85.6242
43.9346,87.339
45.1461,84.4134
45.1036,84.6479
45.8154,84.4778
46.8519,84.5175
46.0067,85.3994
46.0304,87.0262
47.9805,84.6058
46.9657,85.2354
47.1898,86.2354
48.6903,86.2366
49.174,86.8071
50.6911,84.4079
51.9478,84.7348
51.7542,84.9486
51.7582,85.5343
52.0077,85.661
52.6903,87.1851
88.7185,57.207
88.6953,57.1101
88.6233,56.7794
88.7129,56.2654
88.7115,55.707
88.572,54.5165
88.8468,56.3263
88.8165,56.7526
88.8401,57.0992
88.8467,58.0079
88.741,59.8883
89.1487,59.3042
89.0126,59.0289
89.0234,58.0659
89.0033,57.3791
88.9713,55.6241
89.3111,54.7549
89.2825,55.9467
89.2169,56.0093
89.2346,56.0756
89.3523,56.077
89.2841,56.9846
89.2767,58.5334
89.2411,58.8338
89.5046,59.7995
89.4996,59.317
89.4703,58.2181
89.3595,57.4215
89.5531,55.9067
89.4191,55.6567
89.5382,54.365
89.497,53.8957
89.7046,55.8309
89.6533,57.5915
89.611,58.569
89.6511,59.0723
89.6507,59.5882
89.7647,59.6007
89.7686,58.9222
89.9074,58.5916
89.9409,55.3204
89.9498,54.5468
89.8826,54.2839
90.1667,54.1316
90.1596,55.5188
89.982,58.5695
90.177,59.5816
81.1757,29.8359
94.3011,62.7491
94.2712,62.1048
94.0843,62.0349
94.2917,60.5449
94.2002,60.487
94.2085,60.4686
94.2074,60.0918
94.4508,60.5035
94.4783,61.5153
94.35,62.0499
94.3872,62.4856
94.4951,64.0457
94.37,64.938
94.3481,65.8371
94.5772,60.8223
94.9094,63.949
94.9059,65.1329
95.1029,65.4965
95.069,63.5027
95.187,61.4208
95.1195,60.8935
95.2132,60.7601
95.1113,60.2629
95.52,60.7777
95.3618,61.7428
95.5337,61.7593
95.3182,61.9806
95.3812,62.1994
95.6287,63.3703
95.5771,63.2396
95.7256,63.135
95.6739,62.4723
95.9253,62.708
96.0222,63.8783
95.8479,63.8896
95.9854,64.9115
95.797,65.4786
96.2831,63.323
96.4566,64.8608
96.6122,65.9501
96.6356,64.8301
96.5223,62.6901
96.6165,62.5897
96.9776,63.0755
97.1167,65.7006
97.1731,63.6488
97.5973,64.5585
97.7545,64.8967
97.7794,65.4731
97.8595,65.4741
63.3519,29.1229
63.4502,29.1096
63.5734,28.1026
63.5709,28.1826
63.5567,28.2135
63.5609,28.466
63.6457,29.7174
63.6302,28.8639
63.6282,28.8578
63.7054,28.2083
63.6322,27.9597
63.7245,27.7571
63.9132,28.3161
64.0462,29.1209
64.072,28.2868
64.0693,27.3969
64.2695,29.4693
64.3906,28.3462
64.3651,28.3291
64.4565,28.2254
64.5333,28.4342
64.457,28.4933
64.6297,28.4543
64.6298,28.2746
64.6129,27.7066
64.8003,27.5489
64.7385,27.9585
64.7423,28.2064
64.7546,28.3282
64.6847,29.8571
64.8487,29.1795
64.816,29.1073
64.8595,28.4372
64.8631,28.1375
65.0469,27.7989
65.1206,28.9909
65.1576,28.8919
65.1087,28.069
65.2222,28.0162
65.2337,28.0408
65.3484,29.7131
65.3817,28.1008
65.4819,27.9182
65.4953,28.3017
65.4893,28.4431
65.4821,29.6502
65.5876,29.8362
65.7275,28.3983
65.638,27.7275
65.8335,28.523
65.8403,29.4297
65.9485,29.6772
65.9334,28.1856
65.9796,27.8223
66.1062,29.0198
66.09,29.7794
66.2531,29.8572
66.2336,28.9642
66.2045,28.3803
66.2329,27.938
66.3877,28.4494
66.3147,28.4909
66.439,28.2808
71.1911,28.9196
71.3712,29.9045
71.4918,29.8282
71.5509,28.8735
71.4587,28.6606
71.605,28.5719
71.5826,29.6607
71.6774,29.6882
71.8418,29.3332
71.7962,28.9641
71.9525,29.4196
72.0797,29.2354
72.0217,28.9763
72.2371,28.781
72.2394,29.231
72.3168,29.5712
72.2513,29.3288
72.2586,28.7109
72.4592,28.8313
72.5005,28.9418
72.512,28.854
73.0585,29.4632
73.3409,29.5686
73.5613,28.7468
73.9988,29.8263
74.2176,29.4847
74.2001,28.9941
78.3751,29.1566
78.53,29.2768
78.8082,29.2887
78.9834,29.276
78.9872,29.4684
78.9595,29.8316
79.2836,29.3816
79.2562,29.7766
79.5597,29.6869
80.0882,29.74
80.3029,29.5699
67.56,62.4708
67.5345,62.6751
67.4942,62.7063
67.5192,63.2376
67.4094,63.4098
67.4323,64.0311
67.6469,65.0511
67.7507,63.6323
67.7267,63.416
67.7282,61.6009
67.7011,61.0345
67.8561,60.5815
68.0829,60.3583
68.0882,61.5452
67.9275,62.7043
68.0753,63.0014
68.0187,63.0873
68.096,63.5811
68.1077,63.7683
68.0421,63.8455
67.9475,64.0413
68.1082,64.0922
68.067,65.3491
68.3147,64.9879
68.2599,63.9594
68.1862,63.7171
68.2497,63.3293
68.2051,62.8127
68.4349,60.1575
68.5322,61.108
68.5222,61.8842
68.3952,62.7833
68.5077,62.9568
68.3758,63.0409
68.5952,63.2111
69.0263,60.6793
68.8846,60.7797
69.0163,61.2035
69.0865,61.3623
69.0685,62.7121
68.9652,62.9567
69.0421,63.2338
69.0379,63.3001
69.0356,63.3004
69.0057,63.3677
68.8817,63.7889
68.8784,63.7899
74.4636,42.3525
74.4795,42.4131
74.5179,42.9314
69.0969,62.9088
69.1892,62.9046
69.141,62.8886
69.1066,62.614
69.1149,62.3441
69.212,62.3058
69.2748,62.1503
69.2291,60.8517
69.1935,60.8345
69.8769,60.4434
69.9743,61.345
71.4077,62.3931
71.8961,60.9823
71.9315,61.1038
71.9654,62.0483
71.9594,65.6113
72.1785,63.6453
72.0981,63.0072
72.2169,62.9121
72.0392,61.947
72.1688,60.4651
72.2746,61.5073
72.4533,62.7132
72.3546,62.8467
72.423,65.7377
72.5173,65.6688
72.5297,64.1706
72.5421,63.6251
72.6072,63.3318
72.5929,63.322
72.6701,61.727
72.6304,61.6968
72.5409,61.2441
72.9379,61.562
73.4206,62.3164
73.472,64.0396
73.6127,63.5582
73.4725,61.2551
73.4697,61.0725
73.6075,60.7685
73.8881,60.2691
73.7674,60.6518
73.9271,62.2732
73.8335,63.2153
73.7329,63.7662
74.1237,63.0584
74.0323,61.0232
74.2167,61.0694
74.3143,61.7531
74.3807,62.3956
74.3592,62.6678
74.3267,63.0686
74.3821,63.335
74.3819,65.2781
74.5499,63.0296
74.6166,62.377
74.6241,62.1285
74.6028,61.1139
74.8532,60.2082
74.7127,60.6965
74.7856,61.8849
74.8122,61.8884
74.7707,63.3684
74.7917,63.387
74.909,63.5845
74.8289,65.7261
75.0306,61.968
75.545,64.3178
75.5381,64.0525
75.4278,63.8804
75.5826,61.1597
75.5608,60.7098
82.4636,40.8212
82.5891,40.5081
82.4717,40.1315
82.5483,38.3112
82.533,37.9945
82.4642,37.4428
82.7143,38.1829
82.688,39.8257
82.8686,39.015
82.8614,38.3193
82.8529,36.779
82.8115,36.1871
82.9437,37.3421
82.9691,40.0525
82.9639,40.106
83.0843,39.9725
83.0917,38.4108
83.1831,38.2572
83.1387,38.0399
83.1748,37.3924
83.1084,37.3309
83.2036,37.2087
83.2221,36.3196
83.2361,37.324
83.3197,37.6715
83.353,38.1908
83.3593,38.3163
83.3328,40.2293
83.2191,41.7261
83.436,38.8766
83.4791,37.977
83.373,37.9646
83.3894,36.9923
83.6058,36.0804
83.5186,36.7127
83.5837,37.6285
83.6198,37.6604
83.6479,38.493
83.5231,40.3769
83.5952,40.7188
77.4325,29.7986
77.4713,29.2529
77.4249,29.143
77.6813,29.4815
77.6631,29.7803
77.778,29.7835
77.7036,29.4938
77.8364,28.9915
77.9097,29.9034
86.4749,63.3584
86.4791,63.296
86.4547,62.2324
86.533,60.3944
86.8842,63.599
87.2825,62.9497
87.2427,63.6949
87.113,63.7208
87.1659,65.5194
87.311,63.3666
87.3275,62.731
87.319,61.7653
87.3229,61.7325
87.4889,60.5692
87.9657,64.3984
87.9849,64.1254
87.8861,63.328
87.9786,63.1747
87.9754,63.0552
87.7851,62.3837
87.9264,61.5077
87.8057,60.9069
88.2695,64.2389
88.4388,63.014
88.3317,61.4472
89.0885,59.9806
89.2144,62.2469
88.9956,62.4981
89.033,63.2815
89.0669,64.3544
