col1,col2
153.8698,28.8892
153.7973,28.6956
154.0425,24.3385
153.9137,25.1001
153.9692,25.8336
153.9363,27.4174
153.9292,28.3552
154.0597,29.3103
154.1166,28.6819
154.14,28.1726
154.1433,27.861
154.1705,27.1071
154.0704,25.4157
154.1732,25.3707
154.1416,25.2965
154.1258,25.2893
154.1478,24.2672
154.2967,24.6545
154.2815,25.1297
154.237,25.8591
154.2495,27.0394
154.2195,27.5304
154.2749,28.5418
154.3455,28.0639
154.3872,26.4683
154.421,26.2703
154.3282,25.213
154.5179,25.5522
154.5675,25.7853
154.5672,26.0477
154.4598,27.2014
154.5437,27.4155
154.6247,28.6521
154.5942,28.5352
154.6954,27.2141
154.6066,25.6704
154.7186,26.3623
154.755,26.5313
154.9324,27.5634
154.9555,26.596
155.005,25.7778
154.9855,26.5665
154.9826,27.6757
155.0094,28.4393
155.0003,28.9524
155.0171,29.8599
155.1719,28.2964
155.1231,27.9982
155.292,26.6963
155.2927,26.8859
155.466,28.4476
155.4445,27.2467
155.4035,27.0382
155.4152,26.9665
155.5546,26.7877
155.5525,28.6007
155.6737,28.3037
155.7705,28.6933
127.1538,25.3342
127.1919,25.6229
127.4563,26.1928
127.4487,26.7726
127.4712,27.0097
127.5904,27.7651
127.711,25.1516
127.6708,25.2935
127.7432,27.746
127.8749,28.8201
127.7676,27.1861
127.7834,26.916
127.794,26.1623
127.816,25.7403
128.0139,25.2342
128.0001,25.2378
127.9654,25.7482
127.9473,27.1484
127.9299,28.541
127.9513,29.3836
128.0048,29.4672
127.9654,29.7112
128.0738,29.467
128.0617,27.8523
128.135,27.7932
128.1356,26.1611
128.126,25.9473
128.1028,25.4736
128.1591,25.575
128.2549,26.1448
128.2916,29.3219
128.3472,28.5653
128.2864,28.3812
128.3554,25.5105
128.3615,25.4431
128.5271,25.2333
128.4773,27.3748
128.471,29.2502
128.5488,27.4131
128.7476,24.8922
128.7738,26.5564
128.7832,26.9438
128.8084,28.1903
128.7993,29.7824
151.3289,27.8492
