col1,col2
114.13,35.4236
114.137,34.582
114.0653,33.9827
114.0583,32.8355
114.0779,32.2314
114.2948,31.023
114.207,31.2411
114.2579,31.3141
114.2924,32.5846
114.2386,32.7925
114.2425,34.3841
114.3448,35.0197
114.3903,34.258
114.3474,33.6599
114.3913,32.9038
114.3744,30.4897
114.5135,30.132
114.5411,33.7075
114.583,34.4503
114.4885,34.6563
114.6645,35.2787
114.6372,35.0487
114.6257,33.7118
114.5864,33.1866
114.6394,31.3945
114.7129,31.1301
114.6428,29.9196
114.8096,30.8502
114.7922,33.5035
114.84,33.5935
114.7911,34.5837
114.9811,35.7233
114.8982,33.4616
114.916,33.3772
114.9637,32.9785
115.0043,32.8274
114.9752,32.0095
114.9877,31.6562
115.0925,32.2017
115.0746,32.7285
115.1651,35.7463
115.2454,35.7454
115.1709,34.6961
115.2502,33.8283
115.3273,30.5554
115.3284,31.2428
115.3542,32.0761
115.3913,32.3274
115.3004,32.6323
115.3832,33.4094
115.3802,34.3437
115.3829,34.7754
115.5201,35.7274
115.5805,30.1678
115.6117,31.2104
115.634,32.8111
115.6234,32.9171
115.642,33.3792
115.6809,34.0002
115.777,33.9592
115.837,32.6653
115.7905,32.1962
115.8317,32.0401
115.7307,32.01
115.8039,31.3399
115.7074,30.337
115.9522,30.076
115.9748,30.7477
115.874,32.4468
115.8609,33.1339
115.8955,34.0686
115.8654,34.6983
115.9712,35.019
116.0157,34.8624
116.088,34.5316
116.1256,33.6233
116.0756,33.2329
116.1464,30.3524
116.2056,30.3691
116.129,30.9769
116.1588,31.1139
116.2525,31.2113
116.2201,31.6862
116.1935,33.1358
116.176,33.2596
116.1392,33.5652
116.2341,33.6995
116.2347,33.9773
116.1594,34.0727
116.2708,35.1008
116.3288,34.8665
116.536,30.5857
116.446,31.5879
116.5381,32.7177
116.4223,34.5554
116.6714,30.2204
116.8203,31.6607
116.7925,31.9367
116.7659,32.1489
116.7998,32.7602
116.7706,34.961
116.8282,35.2596
116.8782,35.0439
116.9453,34.7345
116.8676,33.865
116.8557,33.8555
116.8762,33.4155
116.9468,32.1922
116.8668,31.7407
117.0708,30.1843
117.0645,33.0082
117.0992,33.2724
117.0057,35.1364
117.0485,35.753
117.156,32.2782
117.1848,30.9098
117.1519,30.8421
117.2326,30.713
117.1927,30.0489
117.3576,31.5866
117.2793,32.9415
117.2711,33.0245
117.3123,33.0394
117.3306,35.6853
117.3933,35.8477
117.4715,35.4585
117.5069,34.3615
117.4267,31.5527
117.463,30.4574
117.5657,33.1995
117.6155,33.963
117.6298,34.2949
117.7352,34.8082
117.7304,33.7298
117.7597,33.2337
117.8044,32.98
117.7507,31.6133
117.8443,31.6511
117.8458,32.4835
118.0382,35.6953
118.0287,34.8721
118.0187,33.8546
118.0217,32.6651
118.0252,31.8078
117.9586,30.2463
118.1967,32.022
118.1924,33.5755
118.2213,34.4699
118.3387,34.7852
118.2305,34.6713
118.3565,32.5954
118.3076,32.2009
118.2432,32.0204
118.2657,31.6281
118.3926,30.5949
118.4244,35.5171
105.078,37.1989
105.0648,38.3446
105.0159,38.48
105.0111,38.5287
105.0948,39.2142
105.0848,39.4102
105.0012,39.8734
104.9884,41.1013
104.99,41.8666
116.789,41.4463
116.6912,40.3525
116.7212,39.7529
116.7586,38.9152
116.733,38.0078
116.7366,37.7321
116.6639,37.5175
116.9019,36.3308
116.8929,41.0674
116.8912,41.2764
116.9174,41.3796
116.9474,39.8375
117.0422,38.9732
117.0471,38.0291
117.0101,37.2727
116.9536,36.9916
117.0656,36.8635
117.0494,36.5648
117.1278,36.6167
117.1142,36.6433
117.1933,36.6704
117.1495,37.2023
117.1369,41.1231
117.2026,41.709
117.3918,37.6362
117.3712,37.6166
117.2986,37.1058
117.5242,37.3574
117.4009,39.6833
117.673,39.9655
117.5562,39.7706
117.6933,38.5875
117.6688,38.5264
117.5767,37.1535
117.7007,36.4071
117.8139,37.0819
117.8143,37.4867
117.8292,38.8214
117.8337,40.7945
110.4574,38.1686
110.3787,37.6622
110.3524,37.2332
110.4524,36.5653
110.5692,36.0934
110.537,36.1888
110.5102,36.7605
110.6038,36.9863
110.535,38.822
110.629,38.9538
110.5558,38.9957
110.5324,39.144
110.7351,40.9618
110.7172,39.3118
110.6947,38.9717
110.7766,36.4541
110.864,36.1379
110.8109,37.2331
110.8798,37.5343
110.8184,39.6382
110.8701,39.6431
111.0353,40.6723
111.0362,39.1315
111.0783,38.3493
111.0843,38.348
111.0591,37.0807
111.0584,36.1734
111.1227,36.3562
111.1027,36.4166
111.1078,41.6194
111.3059,39.8021
111.3066,39.8013
111.3223,38.4136
111.3372,37.7818
111.2558,37.2311
111.3766,37.0243
111.4392,36.9849
111.4729,38.9796
111.4862,41.749
123.3787,39.1247
123.5058,39.4858
123.4364,40.7139
123.3945,41.4484
123.5688,40.7689
123.6059,37.5849
123.6266,36.0358
132.5258,52.2892
132.4963,53.2845
132.5511,53.8395
132.7088,52.8956
132.6879,52.524
123.6999,38.985
123.8296,39.1794
123.7667,39.8579
123.7251,40.5785
123.7491,41.1409
123.9762,38.4816
123.9801,38.4809
123.9009,37.5113
124.1375,37.2817
123.9961,38.8799
124.0552,40.7327
132.8702,52.1214
124.2532,41.9387
124.1774,40.887
124.2809,40.7691
124.1853,38.7187
124.2807,36.9891
124.2012,36.9698
124.3268,37.3247
124.4312,39.0718
124.2999,40.3032
133.2751,52.3904
133.2287,53.1943
133.3303,53.7356
133.4517,52.8909
96.6292,59.561
96.6297,58.7266
96.653,58.4182
96.7036,58.4174
96.6628,57.486
96.6074,56.2852
96.9616,55.948
96.9083,56.8612
96.7929,57.2942
