col1,col2
272.3966,45.8308
272.3288,45.9244
272.3307,45.9255
272.3711,47.2259
272.5282,47.0887
272.5415,45.2208
272.5121,44.5446
272.7084,44.5982
272.7299,45.3263
272.8927,47.6596
272.9312,44.917
272.8379,44.7468
273.043,44.3394
273.0188,44.5848
273.0725,45.5767
272.9907,46.233
273.2518,45.1271
273.1759,44.7488
273.1642,44.7386
273.3484,45.5908
273.3606,46.2237
273.425,46.4834
274.1082,44.2924
274.0372,44.4609
273.9834,45.5407
274.0394,45.6686
274.1726,47.911
274.2418,46.7965
274.1294,45.5597
274.2197,45.1252
274.2316,44.9051
274.2396,43.0595
274.3945,46.1368
274.9234,43.6123
274.8936,42.027
275.1828,47.0873
275.4096,42.1687
275.2772,42.6936
275.3366,43.2368
275.3612,45.0932
275.4063,47.1452
275.4461,46.9228
275.4395,46.7751
275.5291,46.4403
275.4852,45.4032
275.4568,44.6775
275.4305,43.5883
275.4837,42.1468
275.5119,41.9777
275.6819,42.0042
275.6052,43.1499
275.6018,45.7437
275.6221,45.7814
275.7791,46.8907
275.7485,46.3631
275.7675,45.2206
275.8226,45.0726
275.85,44.9666
275.8188,43.8223
275.8607,43.1635
287.0805,21.0551
287.1421,20.9084
287.2451,20.7116
287.1711,20.81
287.211,21.0916
287.2367,21.5619
287.1782,21.9378
287.1722,22.2492
287.2939,22.1121
287.4241,20.0716
287.4595,20.4557
287.439,20.9753
287.5322,23.8493
287.595,23.7226
287.5523,23.0187
287.6045,22.3063
287.5519,22.2496
287.6338,21.7627
287.6721,20.6124
287.7964,19.2661
287.774,19.3397
287.7658,19.9929
287.7827,20.1919
287.6867,21.1891
287.6978,21.3918
287.7936,23.1529
287.8933,23.1959
287.8402,22.0945
287.9017,21.7904
287.874,20.6314
287.9171,19.4628
303.6666,41.8261
303.7226,41.3383
303.7143,39.9199
303.665,38.8385
303.7359,38.1384
297.762,25.9543
303.7603,37.39
303.6618,37.2062
303.6339,36.8067
303.6651,36.7521
303.621,36.0353
297.8374,24.6061
303.875,36.9101
303.8232,37.5289
303.7702,37.696
297.9232,25.4758
297.9151,25.7528
297.916,26.0125
297.8788,27.4602
303.7956,38.7924
303.8845,40.3317
303.8549,41.0771
303.9075,41.2906
303.8817,41.6645
303.9199,41.175
304.0479,40.3297
304.0053,40.2248
304.0142,38.5177
304.0622,38.3509
304.0574,37.843
304.1585,36.6771
298.112,26.12
298.0937,25.9624
298.1162,25.1589
298.0066,24.9921
304.1244,37.6584
304.0912,37.6597
304.153,37.6869
304.1217,37.9225
304.1041,39.2809
304.1484,39.4492
298.0066,23.9965
298.0071,23.9342
298.2395,24.2248
304.2575,40.9982
304.2537,40.9942
304.2495,40.8437
304.2304,40.3651
304.2735,39.7491
304.337,39.1071
304.3491,36.1268
304.4206,36.1329
304.4576,36.1593
304.4041,36.8174
304.3753,37.6155
304.4466,38.0329
304.4319,39.3434
304.4258,39.3495
304.5,39.491
304.4417,40.1683
304.4891,41.3374
298.3319,24.8616
298.3655,24.0798
298.5116,25.1205
298.4351,25.2077
298.5204,25.3137
304.6166,38.9395
304.6237,38.8777
304.5669,38.5081
304.5849,38.3363
304.5838,38.3352
304.5394,38.3077
304.6574,37.9135
304.6197,36.9999
304.8258,40.9515
304.8405,40.8879
304.9579,39.7868
304.9276,39.2122
304.8805,39.0573
304.8851,38.7316
305.0348,35.9782
305.0481,36.103
304.9911,36.2689
304.9871,37.8353
305.029,37.849
305.0442,38.6255
305.0891,38.6999
305.0368,39.4794
304.9948,40.2794
305.1719,41.4744
305.1177,41.3643
298.6296,24.3194
298.5334,23.9945
298.6461,23.8734
305.2128,39.0126
305.1962,38.2852
305.2554,38.205
305.1396,38.1005
305.2309,37.7321
305.2301,36.4188
305.3412,36.9321
305.314,37.4086
305.4106,37.533
305.3964,38.6132
305.2673,40.2191
305.4009,40.4472
305.3234,40.8007
305.4037,41.5664
305.3589,41.8289
305.5128,41.1321
305.5571,40.2567
305.5089,39.8329
305.4622,38.6294
305.5166,38.4354
305.5412,37.3388
305.5383,36.0648
305.5713,36.0055
305.7115,36.9109
305.5958,37.2155
305.6491,38.0698
305.6743,38.177
305.6887,41.0257
305.6358,41.4153
305.7698,41.3392
305.8257,40.759
305.7562,39.3446
305.7951,39.1623
305.7779,38.821
305.8585,38.604
305.8123,38.5704
305.762,38.4558
305.7219,37.1128
305.9265,38.0014
305.9947,38.4325
305.9624,38.4928
305.8729,40.2871
306.0217,41.1967
306.0806,40.5611
306.1051,38.4852
306.0753,37.5754
306.0197,37.4188
306.0558,37.2515
306.1166,37.1635
306.0572,36.1454
306.3157,37.5549
306.262,38.0429
306.17,38.5452
306.2034,40.1536
306.1876,40.362
306.2465,40.8439
306.4407,39.5714
306.4465,39.2147
306.3931,38.9031
306.3877,38.0375
306.3786,37.593
306.4546,37.5384
306.4192,37.3741
306.4619,36.2767
306.5084,37.9831
306.4918,38.3521
306.5872,39.6694
306.7117,40.9963
306.7079,38.3256
306.7187,38.3067
306.7347,36.3527
306.8643,35.9857
306.7838,36.5519
306.8926,38.44
306.7677,38.967
306.7807,40.0917
306.9017,40.6118
306.8784,41.4693
307.0073,40.9404
306.9932,39.6117
307.0195,37.2149
306.9636,36.5735
307.0593,36.5553
307.1161,37.4099
307.114,37.5366
307.0682,37.5556
307.1844,37.6199
307.1189,37.7893
307.0829,37.8799
307.2119,39.1538
307.1745,39.1886
307.2108,39.9818
307.1131,40.2923
307.079,40.7581
307.1174,41.9573
307.3494,41.5696
307.2438,40.3073
307.3483,40.099
307.3374,39.209
307.335,36.4547
307.4842,38.6706
307.4851,39.2261
307.3848,40.5133
307.4988,41.5586
307.5405,41.7852
307.6137,41.2236
307.6634,39.8482
307.5493,39.639
307.6464,38.758
307.5652,38.6473
307.5965,38.003
307.5283,37.6141
307.5602,36.1407
307.7468,36.9358
307.7822,37.0455
307.7196,38.1745
307.7625,39.5803
307.7604,40.1935
307.78,40.6009
307.7939,41.5315
307.9063,41.2225
307.9264,40.799
307.8599,39.9389
307.9003,39.8801
307.8582,38.5662
307.9102,38.4201
308.098,36.3716
308.0084,37.3766
308.0655,37.499
307.9839,38.6168
308.0934,41.3052
308.214,41.9009
308.1511,41.5805
308.1761,41.4637
308.2084,41.3957
308.1651,41.1013
308.1655,38.7317
308.2356,37.7628
308.1491,37.5878
308.1163,37.0419
308.1481,35.9772
308.3839,36.8158
308.3506,37.4376
308.2804,39.8669
308.3413,39.9022
308.3202,41.0304
308.3262,41.2943
308.3531,41.3679
308.3313,41.8011
283.7182,31.1472
283.7705,31.3221
283.7103,32.0633
283.6674,32.9284
283.7188,33.9686
283.6925,35.0584
283.7689,35.0991
283.885,35.7364
283.8895,35.3943
283.9298,34.9647
283.8473,32.8381
283.8069,32.2925
283.8568,31.8249
283.9021,30.6201
284.0427,32.7623
284.0228,33.1923
284.0267,33.2171
284.014,33.7894
283.9729,35.8105
284.3095,30.2312
284.2449,31.393
284.2633,32.1387
284.2579,32.9006
284.2211,35.8629
284.4263,35.8724
284.4269,35.7529
284.4982,35.4167
284.4743,34.3042
284.376,33.9591
284.4785,33.0259
284.3824,32.6321
284.457,30.0922
284.5337,30.323
284.5788,30.3612
284.5758,30.6643
284.5422,31.7554
284.6267,32.3843
284.6353,33.4215
284.6332,34.1068
284.5756,34.4138
284.5493,34.6268
284.7611,33.1172
284.7751,32.7805
284.7359,32.6896
284.7241,32.4758
284.729,31.6483
284.7129,30.1817
284.8118,31.6816
284.889,34.2707
284.7833,34.4149
284.9622,35.5476
285.0505,34.807
284.9341,34.6541
284.9341,33.6065
285.0194,32.5466
285.0035,32.1456
285.0024,31.8041
284.9227,31.6917
285.0699,30.122
285.1706,30.8066
285.1923,32.8878
285.1331,33.3183
285.1019,33.7418
285.0961,35.8203
285.3115,35.6236
285.23,33.8022
285.3046,33.4421
272.6991,53.5904
272.6882,53.5005
272.7746,53.4939
272.617,52.2846
272.7344,49.9699
272.7729,48.2499
272.7397,48.1715
272.9983,53.1667
273.0132,53.1077
273.0187,52.6331
272.972,51.7497
272.9853,51.1732
272.9937,51.1694
272.9794,49.9203
273.1422,49.5187
273.3328,48.327
273.2002,48.9872
273.1857,49.5905
273.2115,49.6268
273.1811,53.5575
285.218,32.6919
285.3391,32.6846
285.2668,32.1595
285.3124,31.5383
285.456,30.0263
285.3584,30.9848
285.4038,32.3085
274.4476,53.7031
274.4512,53.7016
274.4483,53.5141
274.4349,53.5024
274.5661,50.8408
274.4954,48.057
274.7485,48.5713
274.7627,49.9685
274.6083,52.1214
274.7414,53.1882
274.7304,53.3994
274.9476,52.8292
274.9168,52.8148
274.8244,51.362
274.92,50.4287
274.9563,48.1008
285.3971,32.8784
274.991,51.163
274.9833,51.3475
274.9745,51.8727
275.0151,52.9067
285.3505,33.9018
285.3855,34.0833
285.4614,34.217
285.3728,34.7749
285.4948,34.5724
285.5584,34.5131
285.5654,33.929
275.9875,53.8258
275.9501,53.3008
276.022,53.0485
275.9652,52.8079
275.9488,52.7356
275.9226,52.62
275.9379,51.6495
275.8998,50.7914
276.5871,48.8692
276.5806,49.2833
276.5033,50.3388
276.4775,51.1303
276.4349,51.3862
276.5257,52.8759
276.5337,53.3701
276.5385,53.4723
276.5391,53.677
285.4975,31.0559
276.8647,49.819
276.9198,50.2704
276.8101,51.3993
276.808,51.5942
276.8694,51.7237
276.8038,53.5647
277.0744,53.3421
277.0351,52.3318
277.0051,52.1654
277.1018,50.7148
277.1593,51.2504
277.1788,51.9449
277.287,52.6175
277.1924,53.0686
277.3035,53.0696
291.9248,32.1339
292.1234,32.6374
292.3287,35.3206
292.2599,33.3653
292.383,30.3891
292.3775,30.7307
292.4153,34.2161
292.5389,34.307
292.588,34.1364
292.5722,33.7283
292.5324,32.0289
292.5371,30.0837
292.6596,30.5879
292.7412,32.9063
292.7541,33.7844
292.8743,32.3538
292.9516,31.8674
292.9349,33.634
292.943,34.4529
292.9319,35.7879
290.9918,32.7239
291.08,31.9266
291.1682,32.5152
291.1168,33.4629
291.3624,51.6027
291.4565,50.8516
291.3735,50.0706
291.4304,49.9334
291.3626,49.9128
291.627,48.093
291.5903,48.2492
291.4847,48.7224
291.6183,48.8708
291.5731,49.0977
291.6121,49.4692
291.5875,49.8194
291.6391,49.9819
291.5923,50.9877
291.6045,52.4676
291.7627,52.5522
291.7887,52.4568
291.7591,52.2908
291.7902,52.1623
291.7863,51.073
291.6956,51.0105
291.8076,50.8491
291.7534,50.2346
291.7002,50.1459
291.7624,48.5868
291.8596,47.9778
291.8354,48.9529
291.8868,49.2566
291.928,49.2969
291.9993,49.9218
291.8395,50.0244
291.9061,50.4238
291.9538,50.7369
291.9932,51.4917
291.8849,51.6126
291.9447,51.6166
291.929,51.9596
291.9327,52.0359
291.8581,52.3203
292.167,53.4874
292.035,51.4591
292.1612,50.3327
292.0535,50.0283
292.0442,48.9432
292.1717,48.6874
292.7196,48.852
292.6507,49.136
292.5761,49.5261
292.671,49.8514
292.6665,51.9454
292.6702,53.7114
292.7867,51.1916
292.7584,50.4715
292.8303,50.307
292.8302,49.9568
292.8268,49.206
292.8603,48.501
292.9083,48.4425
292.984,48.5946
292.991,48.9795
293.0098,50.1831
293.0355,52.3289
293.0506,53.6825
293.1161,52.3697
293.2524,51.087
293.1387,51.0413
293.235,50.9312
293.2101,50.422
293.2249,49.6587
293.2244,48.7288
293.1489,48.0495
293.4234,49.2623
293.3442,49.4159
293.2995,49.7727
293.3647,49.9316
293.4112,52.5966
293.3877,52.6386
293.5389,52.6822
293.5566,51.8272
293.5967,51.3623
293.5827,51.2356
293.4707,50.997
293.4692,48.6582
293.5097,48.5469
293.4789,48.1374
293.6659,48.1641
293.7681,48.421
293.706,49.3098
293.739,49.9251
293.7876,50.6185
293.7688,50.6281
293.6548,50.6541
293.765,50.7438
293.7436,51.0057
293.7861,51.3445
293.7551,52.5018
293.8635,52.8547
293.9459,51.5757
293.8417,50.5632
293.9595,50.3038
293.9831,50.2388
293.8268,50.0765
293.9558,50.0126
293.8818,49.7685
293.8938,49.53
294.1566,48.5162
294.0091,50.1555
294.1105,50.2225
294.1088,50.5427
294.0864,51.8161
294.0168,52.6477
294.3207,51.7907
294.3368,51.2174
294.2056,50.1999
294.3369,49.8981
294.4931,48.4876
294.4866,49.2852
294.4767,49.4773
294.4017,50.1721
294.4654,50.3057
294.5218,50.7958
294.4556,51.8658
294.4176,51.9115
294.6649,53.1077
294.6027,52.189
294.6024,52.1867
294.7093,52.1479
294.603,52.0828
294.7147,51.834
294.5932,50.4726
294.6172,48.7869
294.6826,47.9185
294.8554,48.0173
294.8035,48.4402
294.7946,48.8685
294.8884,49.4371
294.7495,49.6556
294.8804,50.2669
294.7638,51.1046
294.8645,52.6475
294.7663,52.6747
294.9829,52.5861
294.9514,52.3002
295.0543,51.7448
295.0185,50.3439
294.9879,50.2256
295.0337,49.3848
294.9301,48.0591
295.1675,48.0142
295.2188,48.0236
295.1889,48.5126
295.2527,48.8862
295.1363,49.2732
295.1429,49.9931
295.2166,50.0843
295.2125,50.3168
295.2512,50.6947
295.3409,52.6097
295.4334,51.643
295.4292,51.2266
295.4388,50.3515
295.3177,49.8358
295.3039,49.1182
295.3161,48.056
295.4703,48.2388
295.572,49.4782
295.4654,50.5166
295.4527,50.5242
295.5987,50.7206
295.484,50.7961
295.4585,52.6917
295.7767,52.5493
295.7034,52.2942
295.7048,52.2253
295.7728,52.0479
295.6853,51.5953
295.7964,50.8959
295.6671,47.8922
295.8519,48.4601
295.8759,48.5928
295.9151,48.9285
295.9263,49.4425
295.926,49.4446
295.9322,50.0774
295.8419,50.6955
295.8172,50.9696
295.9296,51.0668
295.8338,51.25
295.9235,51.3903
295.9342,52.2924
295.9538,52.611
296.0692,53.3035
296.1475,52.8603
296.0375,52.3588
296.0538,51.8024
296.086,51.5799
296.1239,51.4487
296.0861,51.1271
296.1397,50.3858
296.0071,50.2327
296.1328,48.9773
296.3258,48.1026
296.3386,48.8197
296.2649,48.83
296.2644,48.831
296.271,50.2376
296.2001,51.0919
296.2201,51.1969
296.2484,51.5958
296.3472,52.487
296.2627,52.7295
296.3187,53.0693
296.4013,52.7595
296.5261,51.6698
296.4941,51.2446
296.4419,51.2243
296.4907,50.9059
296.3787,50.7746
296.4382,50.395
296.4643,50.2861
296.3859,50.2049
296.4188,50.0936
296.4419,49.9883
296.4798,49.9376
296.4534,49.7865
296.5123,49.1332
296.36,48.2404
296.7501,53.2121
296.8712,52.0574
296.8136,51.6277
296.8931,50.5675
296.7762,50.3805
296.7212,49.5981
296.7996,49.5273
296.7537,48.9319
296.7702,48.9222
296.826,48.4434
297.0557,50.6469
297.0325,52.1187
296.9449,52.6626
296.9201,52.8601
297.0667,53.5597
297.0822,53.2205
297.1515,52.94
297.1368,52.5187
297.2294,52.309
297.22,51.4666
297.1812,51.1506
297.1004,50.3533
297.238,50.2556
297.0936,49.237
297.337,48.4904
297.3055,49.1851
