col1,col2
212.3885,53.8912
303.6666,41.8261
303.7226,41.3383
303.7143,39.9199
303.665,38.8385
303.7359,38.1384
303.7603,37.39
303.6618,37.2062
303.6339,36.8067
303.6651,36.7521
303.621,36.0353
303.9089,36.7935
303.875,36.9101
303.9162,36.9867
303.8232,37.5289
303.7702,37.696
303.7799,38.782
303.7956,38.7924
303.8845,40.3317
303.8549,41.0771
303.9075,41.2906
303.8817,41.6645
303.9199,41.175
304.0479,40.3297
304.0053,40.2248
303.991,38.6765
304.0142,38.5177
304.0622,38.3509
304.0574,37.843
303.9865,37.5085
303.983,37.4543
304.1585,36.6771
304.1244,37.6584
304.0912,37.6597
304.153,37.6869
304.1217,37.9225
304.1124,38.7613
304.1683,38.8993
304.1041,39.2809
304.1484,39.4492
304.1741,41.9627
304.2575,40.9982
304.2537,40.9942
304.2495,40.8437
178.0487,53.6887
178.4586,53.6948
304.2304,40.3651
304.2735,39.7491
304.2514,39.1387
304.337,39.1071
179.0363,53.7682
179.3804,53.5541
304.3491,36.1268
304.4206,36.1329
304.4576,36.1593
304.4041,36.8174
304.4273,37.2333
304.3753,37.6155
304.4466,38.0329
304.4319,39.3434
304.4258,39.3495
304.5,39.491
304.4417,40.1683
304.4891,41.3374
304.6167,38.9395
304.6237,38.8777
304.5669,38.5081
304.5849,38.3363
304.5838,38.3353
304.5394,38.3077
304.6574,37.9135
304.6197,36.9999
304.8258,40.9515
304.8404,40.8879
304.9579,39.7868
304.9276,39.2122
304.8805,39.0573
304.8851,38.7316
304.9035,38.589
305.0348,35.9782
305.0481,36.103
304.9911,36.2689
304.9871,37.8353
305.029,37.849
305.0442,38.6255
305.0891,38.6999
305.0368,39.4794
304.9948,40.2794
305.1719,41.4744
305.1177,41.3643
305.2128,39.0126
305.1962,38.2852
305.2554,38.205
305.1396,38.1005
305.2309,37.7321
305.2301,36.4188
305.3412,36.9321
305.314,37.4086
305.4106,37.533
305.3964,38.6132
305.2673,40.2191
305.4009,40.4472
305.3234,40.8007
305.4037,41.5664
305.3589,41.8289
305.5128,41.1321
305.5571,40.2567
305.5089,39.8329
320.1487,28.8331
320.0388,26.6218
320.1588,26.2499
320.0855,25.077
320.2266,25.3851
320.2796,25.3976
320.253,27.2115
320.2797,27.9196
320.202,28.0559
305.4622,38.6294
305.5166,38.4354
305.5412,37.3388
320.3931,28.5643
320.3911,27.006
320.3557,24.3466
320.468,24.6723
320.5486,25.0071
320.5348,25.7543
320.4599,26.4415
320.4919,27.4537
320.6876,26.1096
320.5849,25.0742
320.6789,24.9079
305.5383,36.0648
305.5713,36.0055
305.7115,36.9109
305.5958,37.2155
320.7696,25.1895
320.7687,25.504
320.7883,29.6385
320.9534,29.6327
320.9291,27.2105
305.6491,38.0698
320.8817,26.9608
320.862,24.9597
320.9959,24.2742
320.996,24.7565
321.092,26.2465
305.6887,41.0257
305.6358,41.4153
305.7698,41.3392
305.8257,40.759
305.7562,39.3446
305.7951,39.1623
305.7779,38.821
305.8585,38.604
305.8123,38.5704
305.762,38.4558
305.7385,38.3068
305.8404,38.0018
305.8531,37.2317
305.7219,37.1128
305.9265,38.0014
305.9947,38.4325
305.9216,38.45
305.9624,38.4928
305.8729,40.2871
306.0217,41.1967
306.0806,40.5611
306.1051,38.4852
306.0753,37.5754
306.0197,37.4188
306.0558,37.2515
306.1166,37.1635
306.0572,36.1454
306.3157,37.5549
306.262,38.0429
306.2861,38.4898
306.17,38.5452
306.2034,40.1536
306.1876,40.362
306.2465,40.8439
306.4407,39.5714
306.4465,39.2147
306.3877,38.0375
306.3786,37.593
306.4546,37.5384
306.3777,37.43
306.4192,37.3741
306.4097,37.0529
321.142,26.1746
321.2005,25.8804
321.2033,24.7077
321.0966,24.5283
321.3005,26.3087
321.4086,26.536
321.446,25.4988
321.5849,24.8627
321.6095,24.8652
321.564,25.8053
306.5084,37.9831
306.4918,38.3521
306.5872,39.6694
321.7083,24.9971
321.8667,24.8531
321.7806,24.9177
321.8488,25.3674
321.8634,25.4176
321.8105,27.6789
321.8124,28.7338
321.8244,29.2825
306.7117,40.9963
321.9131,28.544
321.9172,27.6087
322.0739,24.6347
322.1305,27.8358
322.0251,28.0844
322.1767,24.6702
306.7079,38.3256
306.7187,38.3067
322.3139,28.5822
322.343,28.8752
322.5262,27.3801
322.5384,26.3571
306.8643,35.9857
306.9081,36.0831
306.7838,36.5519
322.9482,25.3856
322.9192,26.0334
322.8409,26.089
322.8341,26.1206
322.8542,27.6614
322.931,27.9098
323.0806,29.4881
323.0666,25.777
323.2068,26.1067
323.1404,26.8659
323.1131,27.8891
306.8925,38.44
306.7677,38.967
306.9017,40.6118
306.8784,41.4693
323.0982,28.3455
323.1945,28.7215
323.1706,29.8889
307.0073,40.9404
306.9932,39.6117
307.0195,37.2149
306.9636,36.5735
307.0593,36.5553
307.0412,36.2663
307.1161,37.4099
307.114,37.5366
307.0682,37.5556
307.1844,37.6199
307.1189,37.7893
307.0829,37.8799
307.2119,39.1538
307.1745,39.1886
307.2108,39.9818
307.1131,40.2923
307.079,40.7581
307.3494,41.5696
307.2438,40.3073
307.2953,40.1526
307.3483,40.099
307.2691,40.0207
307.3374,39.209
307.335,36.4547
307.4842,38.6706
307.4851,39.2261
307.3848,40.5133
307.4988,41.5586
307.5405,41.7852
307.6137,41.2236
307.6634,39.8482
307.5493,39.639
307.6464,38.758
307.5652,38.6473
307.5965,38.003
307.5283,37.6141
326.4058,27.1864
326.4975,27.1817
326.4771,26.3045
307.7468,36.9358
307.7822,37.0455
326.634,26.7538
326.547,27.0605
326.6234,27.7932
326.5687,29.3259
326.7441,29.5269
326.7259,29.2426
326.7352,26.8018
326.8086,27.2687
326.92,28.2647
326.9916,29.8748
326.994,28.8159
326.9855,28.6464
307.7196,38.1745
307.7717,38.7829
307.7625,39.5803
307.7604,40.1935
307.78,40.6009
327.0624,27.9246
327.0095,27.7563
327.0647,26.9227
327.0925,26.4415
327.0965,29.5203
327.2031,29.789
327.2383,29.8367
327.2246,29.5046
307.7939,41.5315
307.9063,41.2225
307.9264,40.799
307.8599,39.9389
307.9003,39.8801
327.2973,26.6734
327.3034,26.4543
327.4457,27.8551
327.3996,28.9926
327.5096,29.7744
327.4856,29.3954
327.4789,28.2828
327.5194,27.9784
327.5779,27.8938
327.5139,27.2746
327.6445,28.4175
327.6506,28.7671
327.6221,28.8729
307.8582,38.5662
307.9102,38.4201
307.8901,37.1928
308.098,36.3716
308.0084,37.3766
308.0655,37.499
307.9839,38.6168
308.0934,41.3052
308.214,41.901
308.1511,41.5805
308.2625,41.5733
308.2084,41.3957
308.1651,41.1013
308.1655,38.7317
308.2356,37.7628
308.1491,37.5878
308.1163,37.0419
308.1481,35.9772
308.3131,35.9895
308.3839,36.8158
308.3506,37.4376
308.2804,39.8669
308.3413,39.9022
308.3052,41.2246
308.3262,41.2943
308.3531,41.3679
308.2937,41.3729
308.3313,41.8011
328.8381,29.8827
328.8344,28.8952
328.8599,28.8304
329.0604,27.1704
328.9832,27.3662
329.0033,27.6398
329.0204,28.0914
328.9487,28.1317
328.9637,29.4939
329.0864,27.5316
329.074,27.4284
329.1476,27.1648
329.0666,27.0232
329.2852,27.3518
329.3051,27.4544
329.2189,27.8397
329.2408,29.1201
